"n_vin","count"
1,"1572864"
2,"1327074"
3,"62621"
4,"41973"
5,"30356"
6,"22732"
7,"17205"
8,"13042"
9,"9666"
10,"8004"
11,"6651"
12,"5282"
13,"4749"
14,"4021"
15,"3835"
16,"3360"
17,"2953"
18,"2560"
19,"2386"
20,"2213"
21,"2047"
22,"1722"
23,"1719"
24,"1501"
25,"1389"
26,"1392"
27,"1202"
28,"1153"
29,"1081"
30,"1021"
31,"1017"
32,"1076"
33,"981"
34,"864"
35,"729"
36,"796"
37,"4196"
38,"5009"
39,"1033"
40,"637"
41,"490"
42,"394"
43,"387"
44,"347"
45,"354"
46,"286"
47,"336"
48,"295"
49,"257"
50,"256"
51,"250"
52,"260"
53,"224"
54,"217"
55,"214"
56,"221"
57,"200"
58,"151"
59,"181"
60,"178"
61,"165"
62,"158"
63,"159"
64,"157"
65,"173"
66,"138"
67,"136"
68,"136"
69,"143"
70,"133"
71,"144"
72,"133"
73,"136"
74,"139"
75,"105"
76,"113"
77,"100"
78,"100"
79,"105"
80,"98"
81,"108"
82,"85"
83,"90"
84,"92"
85,"78"
86,"69"
87,"65"
88,"85"
89,"68"
90,"82"
91,"59"
92,"61"
93,"61"
94,"62"
95,"72"
96,"68"
97,"63"
98,"65"
99,"58"
100,"102"
101,"51"
102,"53"
103,"48"
104,"55"
105,"34"
106,"32"
107,"48"
108,"48"
109,"60"
110,"46"
111,"46"
112,"38"
113,"49"
114,"36"
115,"46"
116,"44"
117,"37"
118,"42"
119,"1903"
120,"207"
121,"213"
122,"202"
123,"154"
124,"162"
125,"101"
126,"84"
127,"87"
128,"60"
129,"66"
130,"55"
131,"40"
132,"35"
133,"35"
134,"23"
135,"29"
136,"243"
137,"19"
138,"22"
139,"24"
140,"26"
141,"19"
142,"19"
143,"8"
144,"16"
145,"17"
146,"16"
147,"25"
148,"19"
149,"18"
150,"21"
151,"17"
152,"13"
153,"14"
154,"23"
155,"46"
156,"21"
157,"17"
158,"18"
159,"22"
160,"15"
161,"21"
162,"15"
163,"13"
164,"18"
165,"20"
166,"14"
167,"13"
168,"15"
169,"15"
170,"18"
171,"13"
172,"12"
173,"11"
174,"20"
175,"20"
176,"18"
177,"14"
178,"12"
179,"10"
180,"7"
181,"928"
182,"6"
183,"7"
184,"7"
185,"15"
186,"21"
187,"13"
188,"10"
189,"10"
190,"6"
191,"8"
192,"7"
193,"5"
194,"5"
195,"11"
196,"9"
197,"9"
198,"4"
199,"5"
200,"6"
201,"4"
202,"10"
203,"13"
204,"4"
205,"4"
206,"5"
207,"6"
208,"13"
209,"4"
210,"8"
211,"7"
212,"9"
213,"7"
214,"7"
215,"10"
216,"6"
217,"2"
218,"11"
219,"3"
220,"9"
221,"9"
222,"7"
223,"2"
224,"5"
225,"1"
226,"6"
227,"7"
228,"4"
229,"13"
230,"3"
231,"5"
232,"7"
233,"6"
234,"5"
235,"2"
236,"5"
237,"9"
238,"4"
239,"4"
240,"7"
241,"4"
242,"7"
243,"7"
244,"7"
245,"4"
246,"3"
247,"7"
248,"5"
249,"1"
250,"5"
251,"3"
252,"4"
253,"5"
254,"5"
255,"5"
256,"3"
258,"6"
259,"5"
260,"3"
261,"6"
262,"1"
263,"1"
264,"5"
265,"5"
266,"6"
267,"2"
268,"7"
269,"4"
270,"5"
271,"5"
272,"5"
273,"7"
274,"2"
275,"9"
276,"5"
277,"3"
278,"4"
279,"6"
280,"3"
281,"4"
282,"5"
283,"1"
284,"4"
285,"6"
286,"3"
287,"3"
288,"6"
289,"5"
290,"2"
291,"6"
292,"1"
293,"1"
294,"6"
295,"3"
296,"2"
297,"2"
298,"5"
299,"9"
300,"3"
301,"8"
302,"4"
303,"6"
304,"2"
305,"5"
306,"3"
307,"4"
308,"7"
309,"6"
310,"5"
311,"10"
312,"7"
313,"5"
314,"2"
315,"8"
316,"4"
317,"1"
318,"6"
319,"5"
320,"5"
321,"4"
322,"4"
323,"5"
325,"9"
326,"4"
327,"3"
328,"1"
329,"6"
330,"2"
331,"89"
332,"10"
333,"1"
334,"2"
335,"2"
336,"6"
337,"4"
338,"6"
339,"9"
340,"4"
341,"3"
342,"1"
343,"2"
344,"2"
345,"2"
346,"5"
347,"3"
348,"2"
349,"6"
350,"2"
351,"2"
353,"1"
354,"1"
355,"2"
356,"3"
357,"1"
358,"4"
359,"5"
360,"2"
361,"1"
362,"2"
363,"1"
364,"1"
365,"1"
366,"2"
367,"2"
368,"1"
369,"1"
370,"2"
372,"2"
373,"1"
374,"2"
375,"2"
376,"3"
377,"3"
378,"1"
379,"1"
380,"1"
381,"2"
382,"1"
383,"2"
384,"3"
385,"4"
386,"1"
387,"1"
388,"3"
389,"3"
390,"3"
391,"1"
392,"1"
393,"1"
394,"2"
395,"1"
396,"2"
397,"3"
398,"1"
399,"1"
400,"1"
401,"1"
402,"2"
403,"2"
404,"3"
405,"2"
406,"2"
407,"1"
408,"1"
409,"2"
410,"1"
411,"2"
412,"1"
413,"1"
414,"1"
416,"3"
418,"3"
419,"4"
420,"1"
421,"1"
422,"2"
423,"1"
424,"1"
425,"2"
426,"2"
427,"2"
429,"2"
430,"2"
431,"3"
432,"114"
433,"2"
434,"2"
436,"2"
438,"1"
439,"2"
444,"1"
445,"1"
449,"2"
450,"1"
452,"2"
457,"1"
458,"1"
461,"1"
463,"1"
464,"1"
471,"1"
472,"1"
473,"3"
476,"2"
480,"1"
489,"1"
496,"1"
499,"2"
502,"1"
503,"1"
504,"1"
505,"1"
510,"1"
511,"2"
517,"1"
519,"1"
522,"1"
525,"1"
528,"1"
534,"1"
535,"1"
536,"1"
538,"1"
542,"1"
543,"2"
544,"1"
548,"1"
551,"1"
554,"1"
555,"1"
562,"1"
564,"2"
566,"2"
567,"1"
569,"1"
570,"1"
572,"1"
577,"1"
579,"1"
581,"1"
586,"1"
587,"1"
592,"1"
593,"1"
595,"1"
596,"1"
597,"1"
599,"1"
600,"1"
601,"2"
604,"1"
605,"1"
607,"1"
609,"1"
610,"1"
618,"1"
619,"1"
628,"1"
638,"1"
641,"1"
643,"1"
644,"2"
647,"1"
649,"1"
650,"1"
652,"2"
674,"1"
676,"1"
683,"2"
688,"1"
689,"1"
695,"1"
709,"1"
716,"1"
720,"1"
721,"1"
722,"1"
724,"1"
725,"1"
726,"1"
741,"1"
745,"1"
755,"2"
778,"1"
792,"1"
818,"1"
819,"1"
855,"1"
864,"1"
886,"1"
912,"3"
1067,"1"
1086,"1"
1187,"11"